Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,C265094
"C1, C2",0603,2,1uF,C15849
"C10, C11, C17, C18, C3, C6, C7",0402,7,0.1uF,C1525
C12,0603,1,22 pF,C1653
C13,0402,1,100nF,C1525
"C14, C15, C16",0603,3,10uF,C19702
C4,0805,1,22uF,C45783
C5,0603,1,470pF,C1620
"D1, D2",D_SOD-323,2,D_Schottky,C191023
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_14P,C2765186
J2,SMA_Amphenol_132289_EdgeMount,1,Conn_Coaxial,C3039673
J3,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,
L1,0805,1,15uH,C383402
L2,0603,1,18 nH,C19721138
"R1, R2",0603,2,5K1,C23186
"R10, R4, R9",0603,3,10K,C25804
R5,0402,1,100R,C25076
R7,0603,1,1.2K,C22765
SW1,SSSS810701,1,SW_SPDT,C97433
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,SX1262IMLTRT,C191341
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U3,Infineon_PG-TSNP-6-10_0.7x1.1mm_0.7x1.1mm_P0.4mm,1,BGS12P2L,C3312945
U6,MSOP-8_3x3mm_P0.65mm,1,MIC5219-3.3YMM,C628154
U7,MSOP-10_3x3mm_P0.5mm,1,CH340X,C3035748
