Designator,Mid X,Mid Y,Rotation,Layer
BT1,94.05,-70.65,90.0,top
C1,94.751158,-81.8,0.0,top
C10,94.588658,-47.55,270.0,top
C11,95.588658,-42.85,90.0,top
C12,100.651158,-42.1,135.0,top
C13,104.851158,-41.48,90.0,top
C14,99.151158,-40.1,225.0,top
C15,101.0,-84.9,0.0,top
C16,91.751158,-75.825,90.0,top
C17,106.151158,-76.15,90.0,top
C18,101.171158,-76.05,0.0,top
C2,99.751158,-80.1,270.0,top
C3,104.851158,-50.2,180.0,top
C4,103.351158,-48.6,0.0,top
C5,101.351158,-78.9,90.0,top
C6,97.168658,-42.35,180.0,top
C7,94.8,-45.0,90.0,top
D1,97.451158,-84.05,270.0,top
D2,94.251158,-76.2,90.0,top
FL1,104.751158,-45.8,0.0,top
H1,90.2,-91.0,0.0,top
H2,93.2,-37.8,0.0,top
J1,102.241158,-90.525,0.0,top
J2,100.33,-32.8676,90.0,top
J3,90.045,-57.425,0.0,top
L1,95.688658,-40.95,180.0,top
L2,103.151158,-42.7,270.0,top
R1,100.176158,-83.35,180.0,top
R10,93.051158,-48.9,90.0,top
R2,105.251158,-83.35,180.0,top
R4,97.051158,-49.6,0.0,top
R5,102.741158,-40.1,0.0,top
R7,100.826158,-74.6,0.0,top
R9,93.051158,-45.4,90.0,top
SW1,89.2,-82.25,270.0,top
U1,98.751158,-46.0,0.0,top
U2,102.651158,-70.75,270.0,top
U3,106.951158,-43.6,90.0,top
U4,102.801158,-58.7,270.0,top
U6,97.151158,-77.65,0.0,top
U7,103.951158,-79.1,0.0,top
