Altium Designer Pick and Place Locations
C:\Users\emarguier\Documents\PCBAltium\sx1262\SX126xMB2xAS_e588v01a\Project Outputs for SX126xMB2xAS_e588v01a\Pick Place for SX126xMB2xAS_e588v01a.txt

========================================================================================================================
File Design Information:

Date:       18.05.20
Time:       16:01
Revision:   28
Variant:    No variations
Units used: mm

Designator        Comment              Layer       Footprint                   Center-X(mm) Center-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Description                                              
ANA_A5_A6         "Header 4"           TopLayer    1125S-4P_connector          3.5000       13.6500      3.5000    16.6500   270      "Header, 4-Pin"                                          
ANT               SMA                  TopLayer    SMA_end_launch_1.0mm_9.52mm 62.6500      26.6500      62.6500   26.6500   360      "SMA Straight Connector"                                 
C1                Cap                  TopLayer    rlc_201_smd                 51.9500      29.1000      51.9500   29.4000   270      "Capacitor SMD"                                          
C2                Cap                  TopLayer    RLC_201_SMD                 52.5500      29.1000      52.5500   29.4000   270      "Capacitor SMD"                                          
C8                Cap                  TopLayer    RLC_201_SMD                 55.5000      26.6500      55.8000   26.6500   180      "Capacitor SMD"                                          
C9                Cap                  TopLayer    rlc_201_smd                 57.9000      26.3500      57.9000   26.0500   90       "Capacitor SMD"                                          
C10               Cap                  TopLayer    rlc_201_smd                 59.7000      26.3500      59.7000   26.0500   90       "Capacitor SMD"                                          
C14               Cap                  TopLayer    RLC_201_SMD                 54.5750      28.5500      54.5750   28.2500   90       "Capacitor SMD"                                          
C15               Cap                  TopLayer    RLC_201_SMD                 54.5750      24.7000      54.5750   25.0000   270      "Capacitor SMD"                                          
C16               Cap                  TopLayer    rlc_402_smd_small           51.2250      30.1000      51.6250   30.1000   180      "Capacitor SMD"                                          
C17               Cap                  TopLayer    rlc_402_smd_small           45.0250      28.0500      45.0250   27.6500   90       "Capacitor SMD"                                          
C18               Cap                  TopLayer    RLC_201_SMD                 45.1500      25.3750      45.1500   25.0750   90       "Capacitor SMD"                                          
C20               Cap                  TopLayer    RLC_603_SMD                 20.7000      10.9500      21.4500   10.9500   180      "Capacitor SMD"                                          
C21               Cap                  TopLayer    RLC_603_SMD                 17.6000      10.9500      16.8500   10.9500   360      "Capacitor SMD"                                          
C22               Cap                  TopLayer    RLC_603_SMD                 17.6000      7.0000       16.8500   7.0000    360      "Capacitor SMD"                                          
C23               Cap                  TopLayer    RLC_201_SMD                 20.5250      7.0000       20.8250   7.0000    180      "Capacitor SMD"                                          
DIO_D9_D10        "Header 4"           TopLayer    1125S-4P_connector          3.5000       26.6500      3.5000    29.6500   270      "Header, 4-Pin"                                          
FR0               Resistor             TopLayer    RLC_402_SMD                 37.0000      5.6250       37.0000   6.1250    270      "Resistor SMD - IEC symbol version"                      
FR1               Resistor             TopLayer    RLC_402_SMD                 38.1110      5.6250       38.1110   6.1250    270      "Resistor SMD - IEC symbol version"                      
GND               "Test Pin"           TopLayer    pin_0.9mm                   55.0000      3.7750       55.0000   3.7750    90       "Test Pin"                                               
I2C               "Header 4"           TopLayer    1125S-4P_connector          3.5000       39.6500      3.5000    42.6500   270      "Header, 4-Pin"                                          
J1                "Header 8"           BottomLayer HDR1X8                      38.3100      50.8000      47.2000   50.8000   180      "Header, 8-Pin"                                          
J2                "Header 10"          BottomLayer HDR1X10                     14.0700      50.8000      25.5000   50.8000   180      "Header, 10-Pin"                                         
J3                "Header 8"           BottomLayer HDR1X8                      20.3900      2.5400       11.5000   2.5400    360      "Header, 8-Pin"                                          
J4                "Header 6"           BottomLayer HDR1X6                      40.8500      2.5400       34.5000   2.5400    360      "Header, 6-Pin"                                          
L1                Inductor             TopLayer    rlc_402_smd_small           51.2500      28.1000      51.2500   27.7000   90       "Inductor SMD"                                           
L5                Inductor             TopLayer    rlc_201_smd                 58.8000      26.6500      58.5000   26.6500   360      "Inductor SMD"                                           
L7                Inductor             TopLayer    rlc_805_smd_small           43.7500      28.0500      43.7500   28.8500   270      "Inductor SMD"                                           
L8                Inductor             TopLayer    rlc_402_smd_small           45.0250      30.0250      45.0250   30.4250   270      "Inductor SMD"                                           
"Logo Bot1"       "Logo symbol"        BottomLayer Logo_LoRa_Size4             -119.0508    -20.1250     -119.0508 -20.1250  90       "Schematic symbol for Logo"                              
"Logo ESD1"       "Logo symbol"        TopLayer    Logo_ESD                    -119.0508    -20.1250     -119.0508 -20.1250  360      "Schematic symbol for Logo"                              
"Logo Recycling1" "Logo symbol"        BottomLayer Logo_Recycling1             -119.0508    -20.1250     -119.0508 -20.1250  90       "Schematic symbol for Logo"                              
"Logo Semtech_1"  "Logo symbol"        TopLayer    logo_semtech_horiz_size3    -119.0508    -20.1250     -119.0508 -20.1250  270      "Schematic symbol for Logo"                              
Logo_LoRA_Top1    "Logo symbol"        TopLayer    Logo_LoRa_Size4             -119.0508    -20.1250     -119.0508 -20.1250  270      "Schematic symbol for Logo"                              
Logo_mbed1        "Logo symbol"        TopLayer    logo_mbed_2                 -119.0508    -20.1250     -119.0508 -20.1250  360      "Schematic symbol for Logo"                              
Logo_Semtech1     "Logo symbol"        BottomLayer logo_semtech_horiz_size4    -119.0508    -20.1250     -119.0508 -20.1250  90       "Schematic symbol for Logo"                              
Other             Resistor             TopLayer    RLC_402_SMD                 55.1750      6.4250       55.6750   6.4250    180      "Resistor SMD - IEC symbol version"                      
Q1                Xtal                 TopLayer    nd2016da                    48.1750      32.9250      47.5000   32.4000   0        "Crystal with GND pins"                                  
R1                Resistor             TopLayer    RLC_603_SMD                 19.9500      8.9750       19.9500   9.7250    270      "Resistor SMD - IEC symbol version"                      
R2                Resistor             TopLayer    RLC_603_SMD                 18.3500      8.9750       18.3500   9.7250    270      "Resistor SMD - IEC symbol version"                      
R3                Resistor             TopLayer    RLC_201_SMD                 53.9750      24.7000      53.9750   25.0000   270      "Resistor SMD - IEC symbol version"                      
R4                Resistor             TopLayer    RLC_201_SMD                 53.9750      28.5500      53.9750   28.2500   90       "Resistor SMD - IEC symbol version"                      
R5                Resistor             TopLayer    RLC_201_SMD                 4.8000       45.4000      4.5000    45.4000   360      "Resistor SMD - IEC symbol version"                      
R6                Resistor             TopLayer    RLC_201_SMD                 4.8000       46.0250      4.5000    46.0250   360      "Resistor SMD - IEC symbol version"                      
R18               Resistor             TopLayer    rlc_402_smd_small           43.7750      30.7500      44.1750   30.7500   180      "Resistor SMD - IEC symbol version"                      
R434              Resistor             TopLayer    RLC_402_SMD                 55.1750      7.5750       54.6750   7.5750    360      "Resistor SMD - IEC symbol version"                      
R490              Resistor             TopLayer    RLC_402_SMD                 55.1750      8.7250       55.6750   8.7250    180      "Resistor SMD - IEC symbol version"                      
